ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
332,6.14,6.57,6.74,0.64,0.48,0.22,2.76 GHz,0.24,0.31
333,6.21,6.65,6.65,0.51,0.57,0.17,3.93 GHz,0.2,0.16
334,5.55,7.34,7.04,0.58,0.59,0.21,1.51 GHz,0.18,0.27
335,5.51,6.91,7.39,0.66,0.42,0.24,2.95 GHz,0.34,0.26
336,5.8,6.63,6.78,0.57,0.52,0.2,3.59 GHz,0.19,0.15
337,6.08,6.97,6.56,0.61,0.4,0.23,3.32 GHz,0.17,0.21
338,6.34,7.35,7.22,0.7,0.43,0.17,2.36 GHz,0.23,0.15
339,5.51,6.72,7.11,0.59,0.52,0.1,3.07 GHz,0.23,0.16
340,5.71,6.92,6.72,0.62,0.49,0.19,1.65 GHz,0.16,0.33
341,6.31,7.25,7.31,0.55,0.41,0.1,3.15 GHz,0.24,0.27
342,6.4,6.87,6.67,0.59,0.59,0.28,2.83 GHz,0.34,0.31
343,5.96,6.67,7.09,0.66,0.42,0.18,2.19 GHz,0.32,0.34
344,6.4,7.48,6.69,0.55,0.56,0.29,2.14 GHz,0.17,0.28
345,6.37,6.99,7.2,0.64,0.47,0.24,2.61 GHz,0.2,0.21
346,5.97,6.78,6.91,0.54,0.49,0.3,920.00 MHz,0.16,0.21
347,6.45,7.49,6.65,0.55,0.47,0.21,1.99 GHz,0.31,0.23
348,6.17,7.01,7.02,0.54,0.58,0.14,3.97 GHz,0.28,0.23
349,6.11,6.74,7.18,0.67,0.58,0.1,3.81 GHz,0.28,0.17
350,6.22,7.08,7.15,0.56,0.51,0.14,1.27 GHz,0.24,0.35
351,6.18,6.98,6.73,0.66,0.49,0.15,1.27 GHz,0.23,0.31
352,5.77,7.43,7.12,0.68,0.52,0.11,2.55 GHz,0.34,0.33
353,5.88,6.79,6.77,0.52,0.46,0.18,3.38 GHz,0.19,0.2
354,5.86,7.22,6.6,0.68,0.44,0.13,2.71 GHz,0.18,0.33
355,5.87,7.02,6.87,0.62,0.59,0.26,3.06 GHz,0.19,0.26
356,5.95,7.14,6.75,0.57,0.49,0.29,3.44 GHz,0.27,0.22
357,6.3,6.58,7.31,0.57,0.44,0.22,3.94 GHz,0.18,0.22
358,5.78,7.27,6.9,0.56,0.47,0.16,3.94 GHz,0.34,0.16
359,5.72,7.34,7.22,0.57,0.53,0.16,1.97 GHz,0.26,0.25
360,6.48,6.91,6.74,0.66,0.51,0.26,3.13 GHz,0.25,0.3
361,6.4,6.82,7.3,0.62,0.49,0.27,2.83 GHz,0.16,0.19
362,6.31,7.27,7.16,0.68,0.42,0.17,2.27 GHz,0.33,0.21
363,6.14,7.38,6.98,0.54,0.59,0.28,3.87 GHz,0.24,0.33
364,5.74,6.94,6.76,0.61,0.53,0.26,2.71 GHz,0.31,0.24
365,6.0,7.45,7.1,0.61,0.53,0.22,2.31 GHz,0.17,0.33
366,5.79,7.32,6.94,0.6,0.43,0.28,3.83 GHz,0.2,0.27
367,6.25,6.84,6.81,0.68,0.45,0.13,1.14 GHz,0.31,0.26
368,5.9,7.38,6.92,0.62,0.5,0.12,1.37 GHz,0.15,0.25
369,6.18,7.37,6.8,0.7,0.58,0.24,3.35 GHz,0.26,0.27
370,5.9,6.5,6.86,0.68,0.57,0.29,2.24 GHz,0.22,0.17
371,6.0,7.39,7.03,0.63,0.53,0.27,2.98 GHz,0.34,0.34
372,6.06,6.85,7.29,0.65,0.53,0.13,3.27 GHz,0.33,0.3
373,5.86,6.99,6.95,0.65,0.51,0.19,2.96 GHz,0.28,0.32
374,5.54,7.16,6.74,0.54,0.48,0.28,3.71 GHz,0.22,0.28
375,6.0,7.09,7.06,0.64,0.42,0.13,1.49 GHz,0.3,0.29
376,5.97,7.06,7.48,0.58,0.47,0.17,1.15 GHz,0.29,0.32
377,6.31,6.86,6.57,0.53,0.42,0.24,2.11 GHz,0.33,0.23
378,5.91,6.9,7.49,0.53,0.47,0.15,1.86 GHz,0.22,0.24
379,5.67,7.29,7.07,0.53,0.44,0.25,2.63 GHz,0.31,0.29
380,6.21,7.26,6.94,0.67,0.44,0.26,3.49 GHz,0.28,0.16
381,6.02,6.92,6.98,0.6,0.57,0.11,810.00 MHz,0.19,0.18
382,6.14,6.74,6.69,0.57,0.47,0.26,2.31 GHz,0.28,0.22
383,5.62,6.63,7.29,0.58,0.5,0.21,3.18 GHz,0.32,0.21
384,5.91,6.76,6.73,0.53,0.58,0.22,2.30 GHz,0.15,0.16
385,5.66,6.88,6.88,0.66,0.57,0.28,3.37 GHz,0.27,0.18
386,5.86,7.39,7.38,0.6,0.45,0.23,3.39 GHz,0.23,0.19
387,5.78,6.55,7.12,0.55,0.52,0.27,3.72 GHz,0.23,0.25
388,5.96,6.85,6.59,0.68,0.48,0.1,3.44 GHz,0.3,0.16
389,5.68,7.1,6.86,0.59,0.45,0.16,1.63 GHz,0.17,0.32
390,5.79,7.35,6.58,0.58,0.59,0.29,2.55 GHz,0.34,0.28
391,5.85,7.17,6.94,0.58,0.46,0.18,3.48 GHz,0.32,0.29
392,6.48,7.19,7.14,0.57,0.46,0.28,2.60 GHz,0.26,0.21
393,6.21,7.23,7.35,0.58,0.57,0.14,2.46 GHz,0.31,0.29
394,5.89,7.11,7.2,0.52,0.46,0.18,2.34 GHz,0.32,0.31
395,6.07,7.17,6.85,0.62,0.58,0.15,2.85 GHz,0.16,0.2
396,6.23,7.32,7.35,0.54,0.51,0.15,3.13 GHz,0.21,0.29
397,6.15,7.21,6.76,0.69,0.49,0.11,2.84 GHz,0.34,0.15
398,5.8,6.8,6.74,0.57,0.6,0.25,2.76 GHz,0.24,0.33
399,5.92,6.98,7.29,0.64,0.52,0.17,1.51 GHz,0.24,0.19
400,6.43,6.94,6.93,0.55,0.55,0.18,3.01 GHz,0.21,0.32
401,5.61,6.92,6.51,0.68,0.41,0.17,2.99 GHz,0.33,0.16
402,6.36,7.33,7.34,0.55,0.47,0.15,2.15 GHz,0.27,0.17
403,6.18,6.92,6.95,0.65,0.49,0.15,3.81 GHz,0.3,0.2
404,6.45,7.44,6.87,0.53,0.52,0.14,1.18 GHz,0.22,0.15
405,5.5,7.4,7.0,0.61,0.43,0.18,3.60 GHz,0.26,0.15
406,5.62,7.11,6.7,0.59,0.41,0.21,2.01 GHz,0.19,0.25
407,6.49,6.88,7.25,0.52,0.51,0.2,1.31 GHz,0.21,0.33
408,5.81,6.9,6.54,0.67,0.59,0.11,2.51 GHz,0.28,0.3
409,6.06,7.42,6.52,0.67,0.5,0.28,3.89 GHz,0.32,0.34
410,6.34,6.92,6.77,0.63,0.58,0.2,1.94 GHz,0.22,0.28
411,6.2,6.63,6.81,0.56,0.59,0.21,3.25 GHz,0.27,0.17
412,6.09,7.33,6.6,0.67,0.42,0.28,3.62 GHz,0.16,0.22
413,5.62,6.62,6.76,0.7,0.57,0.29,3.92 GHz,0.21,0.33
414,5.96,7.44,6.74,0.57,0.41,0.3,2.50 GHz,0.19,0.26
415,6.47,6.54,6.64,0.55,0.47,0.27,2.21 GHz,0.35,0.32
416,6.06,6.62,6.89,0.57,0.59,0.12,2.82 GHz,0.17,0.28
417,5.56,6.81,6.51,0.64,0.49,0.16,910.00 MHz,0.34,0.25
418,6.35,6.51,6.65,0.61,0.47,0.2,1.22 GHz,0.24,0.18
419,6.14,6.89,6.54,0.6,0.59,0.21,1.58 GHz,0.28,0.15
420,6.46,7.48,7.22,0.67,0.5,0.3,3.02 GHz,0.17,0.19
421,6.32,7.18,7.05,0.55,0.4,0.26,1.32 GHz,0.17,0.29
422,6.15,7.17,6.96,0.51,0.44,0.14,3.05 GHz,0.22,0.26
423,6.39,6.75,6.77,0.62,0.48,0.28,3.76 GHz,0.2,0.33
424,6.44,7.32,6.61,0.7,0.54,0.23,3.77 GHz,0.18,0.25
425,6.14,7.34,6.63,0.6,0.59,0.27,3.94 GHz,0.22,0.32
426,5.81,7.11,7.16,0.68,0.6,0.27,1.00 GHz,0.3,0.16
427,6.43,7.18,6.5,0.69,0.52,0.15,2.37 GHz,0.31,0.25
428,6.17,6.65,6.7,0.66,0.43,0.21,1.79 GHz,0.15,0.27
429,6.44,7.19,6.61,0.56,0.45,0.22,2.79 GHz,0.16,0.18
430,6.24,6.91,7.36,0.67,0.52,0.24,1.55 GHz,0.32,0.34
431,5.85,6.57,6.53,0.62,0.43,0.12,3.28 GHz,0.18,0.33
432,5.64,7.13,7.09,0.65,0.57,0.28,2.84 GHz,0.23,0.18
433,5.79,7.39,7.08,0.64,0.42,0.28,2.10 GHz,0.2,0.26
434,6.18,6.59,7.06,0.65,0.59,0.15,1.48 GHz,0.24,0.21
435,6.32,7.42,6.96,0.61,0.53,0.28,1.92 GHz,0.25,0.3
436,6.11,7.02,6.54,0.65,0.51,0.1,2.25 GHz,0.31,0.21
437,5.86,7.44,7.04,0.7,0.45,0.13,1.80 GHz,0.35,0.23
438,5.77,7.11,6.79,0.62,0.53,0.3,1.85 GHz,0.28,0.15
439,6.43,7.02,7.39,0.68,0.45,0.21,2.97 GHz,0.26,0.31
440,5.96,6.89,7.24,0.6,0.47,0.11,3.28 GHz,0.28,0.31
441,5.86,6.54,6.68,0.54,0.45,0.19,3.34 GHz,0.17,0.33
442,6.34,7.04,6.92,0.58,0.52,0.15,3.20 GHz,0.27,0.25
443,5.83,7.23,7.47,0.51,0.47,0.19,3.41 GHz,0.2,0.22
444,6.36,7.02,7.42,0.52,0.44,0.21,3.46 GHz,0.17,0.19
445,5.75,7.38,6.87,0.61,0.44,0.16,1.97 GHz,0.17,0.18
446,5.61,6.85,7.35,0.58,0.45,0.21,3.29 GHz,0.33,0.26
447,6.35,6.74,6.57,0.51,0.46,0.16,1.46 GHz,0.18,0.33
448,6.2,6.69,6.97,0.65,0.41,0.24,3.43 GHz,0.34,0.27
449,5.84,7.03,6.9,0.52,0.56,0.14,2.34 GHz,0.3,0.34
450,5.56,7.07,6.78,0.67,0.52,0.23,1.84 GHz,0.19,0.35
451,5.68,7.38,6.8,0.51,0.6,0.26,3.80 GHz,0.24,0.18
452,5.75,6.79,7.34,0.61,0.4,0.2,1.05 GHz,0.33,0.18
453,6.0,6.68,7.09,0.69,0.49,0.24,2.95 GHz,0.25,0.21
454,6.39,7.43,6.51,0.58,0.51,0.2,2.14 GHz,0.24,0.32
455,5.8,6.66,6.98,0.61,0.4,0.19,3.10 GHz,0.18,0.17
456,5.92,6.97,7.07,0.52,0.45,0.16,1.93 GHz,0.17,0.22
457,6.33,7.13,6.6,0.64,0.46,0.24,3.89 GHz,0.16,0.16
458,5.86,7.35,7.33,0.55,0.6,0.11,2.10 GHz,0.16,0.18
459,6.45,6.72,6.76,0.56,0.59,0.14,2.31 GHz,0.24,0.22
460,6.5,6.9,7.07,0.66,0.58,0.25,3.53 GHz,0.15,0.3
461,6.4,6.82,7.04,0.69,0.42,0.26,1.15 GHz,0.16,0.16
462,5.75,7.16,7.2,0.57,0.53,0.17,1.36 GHz,0.33,0.24
463,5.7,6.56,6.98,0.65,0.57,0.27,1.13 GHz,0.29,0.34
464,6.21,6.61,7.4,0.5,0.57,0.17,3.14 GHz,0.24,0.17
465,5.62,7.19,7.25,0.63,0.52,0.25,3.95 GHz,0.28,0.35
466,5.68,6.92,6.98,0.54,0.54,0.13,3.93 GHz,0.16,0.3
467,6.46,7.31,7.47,0.7,0.59,0.25,2.41 GHz,0.33,0.35
468,5.68,7.29,6.59,0.55,0.54,0.2,3.15 GHz,0.26,0.15
469,5.89,6.65,7.49,0.65,0.49,0.11,2.48 GHz,0.18,0.24
470,6.24,7.26,7.49,0.54,0.57,0.14,1.73 GHz,0.32,0.17
471,5.61,7.33,7.38,0.57,0.55,0.11,800.00 MHz,0.27,0.32
472,6.18,6.55,6.73,0.55,0.47,0.24,2.66 GHz,0.23,0.2
473,5.85,7.26,6.55,0.64,0.5,0.21,2.14 GHz,0.26,0.24
474,5.7,7.44,7.08,0.67,0.43,0.25,3.16 GHz,0.21,0.34
475,6.18,7.17,6.55,0.51,0.49,0.18,930.00 MHz,0.3,0.2
476,6.29,6.68,6.9,0.53,0.57,0.29,1.14 GHz,0.21,0.32
477,6.09,6.77,6.72,0.54,0.52,0.18,2.23 GHz,0.27,0.34
478,5.77,6.99,7.05,0.62,0.47,0.23,3.12 GHz,0.18,0.19
479,6.21,6.92,6.78,0.62,0.44,0.19,3.14 GHz,0.33,0.16
480,6.41,7.28,7.43,0.61,0.41,0.24,1.84 GHz,0.23,0.2
481,6.46,7.37,7.08,0.67,0.51,0.14,2.11 GHz,0.27,0.33
482,6.1,6.98,6.89,0.62,0.42,0.26,1.77 GHz,0.26,0.35
483,5.93,6.61,7.39,0.52,0.48,0.28,3.55 GHz,0.23,0.28
484,5.93,7.42,7.45,0.51,0.42,0.14,1.78 GHz,0.19,0.28
485,6.09,7.42,6.89,0.53,0.57,0.15,1.61 GHz,0.3,0.25
486,5.5,6.74,7.15,0.59,0.44,0.23,2.88 GHz,0.23,0.23
487,5.99,6.53,6.52,0.51,0.5,0.16,2.92 GHz,0.26,0.32
488,6.13,6.73,7.27,0.57,0.53,0.15,3.82 GHz,0.18,0.22
489,5.69,7.23,6.77,0.54,0.49,0.24,3.73 GHz,0.22,0.17
490,6.22,7.01,7.29,0.7,0.54,0.23,1.18 GHz,0.23,0.26
491,6.33,7.35,6.5,0.51,0.46,0.22,1.91 GHz,0.23,0.25
492,6.34,6.91,6.52,0.53,0.45,0.28,3.60 GHz,0.27,0.19
493,6.39,7.15,7.44,0.51,0.44,0.24,930.00 MHz,0.33,0.26
494,6.34,6.92,7.34,0.53,0.57,0.17,2.74 GHz,0.18,0.16
495,6.0,7.36,6.95,0.57,0.48,0.27,1.38 GHz,0.25,0.2
496,6.17,7.26,6.88,0.68,0.6,0.25,870.00 MHz,0.19,0.27
497,6.38,6.71,6.55,0.58,0.45,0.3,3.01 GHz,0.33,0.32
498,6.0,7.33,6.77,0.63,0.4,0.2,1.27 GHz,0.33,0.29
499,6.06,7.48,7.3,0.55,0.41,0.23,3.42 GHz,0.19,0.35
500,6.2,7.37,6.78,0.51,0.5,0.11,2.96 GHz,0.29,0.21
501,5.91,7.01,6.81,0.52,0.46,0.11,970.00 MHz,0.22,0.34
502,5.65,7.1,7.44,0.57,0.56,0.24,2.36 GHz,0.16,0.31
503,5.96,6.82,7.18,0.69,0.58,0.3,3.11 GHz,0.2,0.32
504,5.97,7.34,6.61,0.6,0.42,0.15,1.78 GHz,0.31,0.29
505,6.19,6.74,7.46,0.61,0.58,0.3,3.59 GHz,0.31,0.22
506,5.71,7.12,7.2,0.55,0.57,0.12,1.47 GHz,0.26,0.28
507,5.84,7.06,7.12,0.66,0.41,0.12,1.59 GHz,0.26,0.2
508,6.16,6.67,6.93,0.57,0.56,0.2,1.70 GHz,0.32,0.21
509,5.75,7.27,7.44,0.51,0.4,0.23,3.97 GHz,0.32,0.18
510,6.21,7.44,6.59,0.69,0.6,0.2,1.30 GHz,0.33,0.18
511,5.7,6.94,6.67,0.54,0.51,0.14,1.55 GHz,0.32,0.19
512,5.69,7.45,6.76,0.59,0.45,0.24,2.18 GHz,0.28,0.28
513,6.19,6.68,6.91,0.68,0.46,0.24,2.84 GHz,0.3,0.23
514,5.78,7.35,7.43,0.62,0.46,0.19,1.57 GHz,0.17,0.25
515,5.83,7.46,6.6,0.62,0.47,0.2,3.24 GHz,0.18,0.33
516,5.9,6.76,6.87,0.59,0.43,0.23,3.38 GHz,0.23,0.25
517,5.6,7.07,6.76,0.65,0.49,0.29,1.23 GHz,0.19,0.32
518,6.01,7.08,6.62,0.64,0.56,0.22,1.34 GHz,0.35,0.18
519,6.25,7.12,7.39,0.64,0.48,0.11,3.61 GHz,0.23,0.3
520,5.55,7.29,6.7,0.54,0.47,0.19,840.00 MHz,0.26,0.28
521,6.41,6.73,7.41,0.58,0.4,0.19,2.42 GHz,0.35,0.33
522,6.18,7.27,6.79,0.54,0.44,0.27,3.04 GHz,0.22,0.29
523,6.07,7.27,6.73,0.57,0.59,0.21,1.48 GHz,0.28,0.23
524,6.48,7.32,6.65,0.55,0.56,0.13,3.81 GHz,0.29,0.19
525,6.18,7.38,6.54,0.6,0.44,0.23,920.00 MHz,0.2,0.35
526,6.23,6.52,6.99,0.52,0.56,0.15,980.00 MHz,0.21,0.31
527,5.57,6.77,6.62,0.69,0.44,0.2,2.72 GHz,0.27,0.17
528,6.14,7.0,6.77,0.51,0.43,0.2,920.00 MHz,0.27,0.19
529,6.0,6.7,6.64,0.59,0.57,0.18,3.80 GHz,0.28,0.28
530,5.68,6.52,6.82,0.7,0.47,0.28,1.62 GHz,0.33,0.3
531,6.48,7.33,6.79,0.62,0.54,0.28,2.90 GHz,0.17,0.25
532,6.39,7.37,7.48,0.64,0.46,0.26,2.90 GHz,0.2,0.28
533,6.0,6.53,6.88,0.6,0.44,0.13,870.00 MHz,0.33,0.22
534,5.56,7.12,6.64,0.65,0.59,0.1,3.19 GHz,0.28,0.24
535,6.23,6.86,7.22,0.57,0.5,0.16,2.88 GHz,0.27,0.27
536,6.13,6.89,7.36,0.6,0.56,0.15,2.55 GHz,0.31,0.18
537,6.04,6.69,6.99,0.56,0.53,0.24,3.34 GHz,0.16,0.3
538,6.27,7.46,7.25,0.68,0.44,0.3,1.80 GHz,0.2,0.18
539,6.34,6.87,7.27,0.6,0.44,0.28,1.53 GHz,0.34,0.17
540,5.57,7.49,6.83,0.66,0.51,0.16,3.47 GHz,0.23,0.33
541,5.68,7.32,7.5,0.63,0.49,0.16,3.95 GHz,0.19,0.23
542,6.41,7.32,6.69,0.63,0.53,0.12,3.30 GHz,0.17,0.34
543,5.86,7.24,7.08,0.63,0.49,0.26,2.86 GHz,0.26,0.3
544,5.58,6.65,7.35,0.66,0.41,0.26,3.62 GHz,0.16,0.23
545,5.73,7.23,7.31,0.56,0.45,0.23,1.34 GHz,0.33,0.17
546,6.28,6.77,7.45,0.56,0.41,0.22,1.70 GHz,0.17,0.34
547,5.67,7.24,7.01,0.56,0.45,0.18,1.46 GHz,0.17,0.27
548,5.83,7.17,6.85,0.58,0.45,0.1,1.10 GHz,0.31,0.17
549,6.3,7.14,6.66,0.7,0.42,0.3,1.05 GHz,0.22,0.34
550,5.71,6.85,7.46,0.63,0.59,0.16,1.24 GHz,0.26,0.23
551,5.99,6.76,6.8,0.54,0.43,0.14,1.31 GHz,0.15,0.15
552,6.44,7.16,6.63,0.63,0.51,0.11,990.00 MHz,0.22,0.28
553,6.05,7.21,6.76,0.58,0.54,0.2,1.21 GHz,0.18,0.28
554,5.78,7.16,7.11,0.64,0.55,0.18,2.73 GHz,0.27,0.32
555,6.08,6.58,6.74,0.7,0.47,0.14,3.93 GHz,0.27,0.28
556,5.65,7.11,7.38,0.6,0.42,0.29,1.54 GHz,0.22,0.17
557,5.61,6.56,6.65,0.58,0.48,0.15,1.81 GHz,0.3,0.28
558,6.32,6.74,6.76,0.52,0.4,0.25,2.63 GHz,0.25,0.27
559,6.28,6.84,7.27,0.51,0.56,0.17,2.79 GHz,0.28,0.22
560,5.76,7.15,7.46,0.56,0.5,0.16,3.75 GHz,0.16,0.34
561,6.18,7.25,7.43,0.66,0.49,0.13,860.00 MHz,0.24,0.25
562,6.23,6.88,7.26,0.63,0.49,0.16,2.29 GHz,0.18,0.23
563,6.06,7.26,6.88,0.7,0.47,0.18,2.69 GHz,0.35,0.22
564,5.73,7.43,7.21,0.51,0.45,0.15,1.29 GHz,0.32,0.34
565,5.68,7.34,7.2,0.58,0.42,0.14,1.32 GHz,0.16,0.28
566,6.33,7.28,7.22,0.58,0.41,0.21,970.00 MHz,0.18,0.32
567,6.48,6.55,6.87,0.6,0.46,0.26,1.35 GHz,0.32,0.35
568,5.87,7.49,6.85,0.51,0.44,0.19,3.03 GHz,0.23,0.16
569,5.81,7.12,7.42,0.51,0.53,0.19,2.83 GHz,0.34,0.18
570,5.67,7.29,6.85,0.59,0.56,0.22,2.26 GHz,0.27,0.27
571,6.42,7.43,6.95,0.51,0.45,0.22,3.90 GHz,0.25,0.16
572,6.07,7.12,6.93,0.54,0.52,0.21,2.87 GHz,0.25,0.28
573,5.94,6.76,7.21,0.63,0.5,0.27,2.55 GHz,0.27,0.2
574,5.7,6.93,6.81,0.63,0.48,0.18,2.10 GHz,0.23,0.35
575,6.23,6.85,6.98,0.6,0.44,0.14,2.12 GHz,0.29,0.34
576,5.64,6.7,7.31,0.66,0.47,0.25,2.56 GHz,0.23,0.22
577,6.44,7.08,7.06,0.55,0.4,0.1,2.17 GHz,0.17,0.33
578,6.32,6.81,6.84,0.63,0.41,0.15,3.90 GHz,0.21,0.24
579,5.76,7.21,7.3,0.58,0.52,0.2,3.61 GHz,0.28,0.31
580,6.28,7.0,6.72,0.56,0.48,0.12,2.05 GHz,0.31,0.26
581,5.91,7.05,7.36,0.54,0.51,0.14,3.08 GHz,0.33,0.23
582,6.46,6.52,7.45,0.55,0.44,0.18,1.13 GHz,0.34,0.16
583,6.4,6.66,6.61,0.63,0.56,0.13,2.97 GHz,0.16,0.22
584,5.72,7.01,7.18,0.65,0.45,0.22,3.95 GHz,0.32,0.23
585,5.94,6.74,6.56,0.57,0.52,0.13,960.00 MHz,0.17,0.32
586,6.38,7.31,7.28,0.59,0.51,0.27,1.24 GHz,0.29,0.26
587,6.02,7.48,7.41,0.64,0.49,0.3,1.21 GHz,0.32,0.26
588,5.72,6.84,6.85,0.53,0.45,0.26,2.58 GHz,0.27,0.26
589,5.72,7.38,7.4,0.51,0.43,0.17,2.65 GHz,0.28,0.35
590,6.24,6.98,6.74,0.53,0.57,0.13,920.00 MHz,0.27,0.23
591,5.63,6.52,7.42,0.66,0.6,0.11,3.08 GHz,0.27,0.31
592,5.72,7.17,7.27,0.54,0.51,0.18,2.36 GHz,0.26,0.32
593,6.38,6.68,6.58,0.57,0.6,0.22,3.20 GHz,0.34,0.18
594,6.32,6.71,6.7,0.69,0.46,0.29,3.42 GHz,0.21,0.25
595,6.0,7.36,7.13,0.54,0.47,0.3,2.28 GHz,0.17,0.22
596,6.48,7.33,7.22,0.52,0.43,0.1,2.16 GHz,0.27,0.16
597,6.3,6.52,7.06,0.68,0.53,0.26,1.18 GHz,0.3,0.27
598,5.97,6.52,6.67,0.64,0.58,0.12,2.87 GHz,0.22,0.33
599,6.4,7.3,6.89,0.59,0.48,0.27,1.82 GHz,0.22,0.21
600,5.68,7.16,6.84,0.61,0.51,0.2,3.63 GHz,0.25,0.25
601,6.03,6.85,7.06,0.55,0.52,0.28,880.00 MHz,0.19,0.15
602,6.3,6.86,7.48,0.7,0.49,0.26,3.03 GHz,0.18,0.29
603,6.07,7.43,6.75,0.66,0.48,0.29,2.16 GHz,0.18,0.22
604,6.45,7.17,6.91,0.65,0.46,0.21,2.51 GHz,0.17,0.29
605,5.91,7.0,6.83,0.6,0.42,0.28,2.37 GHz,0.17,0.28
606,6.49,7.08,6.73,0.6,0.52,0.18,3.01 GHz,0.19,0.25
607,5.56,6.76,7.12,0.66,0.46,0.18,3.95 GHz,0.35,0.25
608,5.66,6.86,6.55,0.54,0.4,0.25,2.09 GHz,0.29,0.24
609,5.72,7.07,7.14,0.66,0.48,0.24,3.25 GHz,0.2,0.35
610,5.8,6.84,6.53,0.5,0.43,0.22,830.00 MHz,0.18,0.26
611,5.76,7.22,7.02,0.57,0.56,0.27,2.66 GHz,0.26,0.22
612,5.81,6.88,6.51,0.52,0.5,0.24,2.48 GHz,0.21,0.2
613,5.77,7.01,7.25,0.66,0.51,0.15,3.40 GHz,0.18,0.33
614,6.37,6.9,7.13,0.56,0.55,0.11,950.00 MHz,0.22,0.28
615,5.55,7.26,6.77,0.59,0.55,0.22,1.44 GHz,0.24,0.22
616,6.36,6.6,7.11,0.66,0.58,0.25,2.52 GHz,0.19,0.35
617,6.33,7.37,6.81,0.53,0.51,0.17,1.19 GHz,0.27,0.25
618,6.3,6.56,7.37,0.66,0.46,0.14,2.66 GHz,0.18,0.27
619,6.25,6.7,7.3,0.55,0.5,0.27,820.00 MHz,0.32,0.24
620,5.5,7.5,6.78,0.65,0.56,0.27,820.00 MHz,0.3,0.32
621,5.89,7.08,6.95,0.58,0.56,0.11,2.33 GHz,0.25,0.24
622,5.76,6.59,7.11,0.61,0.51,0.18,2.60 GHz,0.16,0.3
623,5.89,6.78,7.38,0.69,0.57,0.29,2.26 GHz,0.31,0.25
624,6.41,6.54,7.15,0.57,0.43,0.28,1.65 GHz,0.26,0.15
625,6.09,7.01,7.21,0.64,0.44,0.11,2.56 GHz,0.25,0.22
626,5.73,7.41,6.96,0.52,0.49,0.15,3.72 GHz,0.2,0.3
627,5.87,6.7,6.89,0.64,0.51,0.13,2.91 GHz,0.32,0.21
628,5.56,6.57,6.62,0.58,0.52,0.18,3.75 GHz,0.18,0.3
629,6.35,7.21,7.25,0.63,0.54,0.12,2.30 GHz,0.2,0.24
630,5.78,6.66,6.62,0.59,0.55,0.24,2.37 GHz,0.21,0.35
631,5.82,6.91,6.91,0.59,0.51,0.27,2.01 GHz,0.23,0.2
632,6.28,6.86,7.27,0.52,0.45,0.28,960.00 MHz,0.15,0.27
633,5.76,6.94,6.86,0.56,0.57,0.22,3.03 GHz,0.28,0.23
634,6.42,7.21,6.68,0.6,0.46,0.24,2.95 GHz,0.18,0.21
635,5.64,7.35,6.97,0.54,0.5,0.14,1.66 GHz,0.22,0.33
636,6.12,6.84,7.03,0.54,0.59,0.24,2.18 GHz,0.3,0.32
637,6.39,6.78,6.69,0.6,0.52,0.23,2.37 GHz,0.24,0.27
638,5.75,7.35,7.36,0.63,0.47,0.29,1.51 GHz,0.2,0.2
639,5.88,6.65,6.72,0.69,0.55,0.13,1.89 GHz,0.22,0.25
640,5.78,7.37,6.73,0.59,0.51,0.24,3.51 GHz,0.31,0.25
641,5.79,7.1,6.53,0.62,0.55,0.25,2.36 GHz,0.32,0.21
642,5.76,7.23,6.94,0.66,0.46,0.11,3.79 GHz,0.27,0.33
643,5.57,6.54,6.55,0.51,0.5,0.12,2.46 GHz,0.23,0.16
644,6.28,6.8,7.3,0.53,0.49,0.14,2.42 GHz,0.16,0.32
645,5.67,7.26,7.32,0.57,0.58,0.16,3.64 GHz,0.26,0.34
646,5.79,7.47,6.97,0.7,0.46,0.26,2.14 GHz,0.29,0.22
647,6.39,6.85,7.24,0.63,0.43,0.19,2.36 GHz,0.2,0.19
648,5.87,7.12,7.33,0.61,0.52,0.17,3.38 GHz,0.23,0.28
649,5.75,7.06,7.26,0.51,0.54,0.18,3.31 GHz,0.3,0.17
650,5.86,6.97,7.16,0.56,0.42,0.17,2.40 GHz,0.34,0.31
651,5.95,7.04,7.1,0.57,0.52,0.26,3.99 GHz,0.16,0.25
652,5.73,6.69,6.96,0.57,0.45,0.27,2.79 GHz,0.32,0.34
653,5.6,6.88,6.54,0.65,0.54,0.18,800.00 MHz,0.21,0.22
654,6.14,6.69,7.23,0.59,0.49,0.21,3.40 GHz,0.22,0.29
655,6.45,6.87,7.05,0.66,0.48,0.15,3.23 GHz,0.32,0.34
656,6.1,7.25,6.96,0.64,0.41,0.14,1.47 GHz,0.18,0.3
657,5.78,7.38,7.01,0.69,0.4,0.17,2.93 GHz,0.3,0.25
658,6.25,7.12,7.01,0.68,0.56,0.14,2.39 GHz,0.27,0.19
659,6.36,7.45,7.49,0.61,0.51,0.14,3.85 GHz,0.29,0.31
660,5.93,7.19,7.06,0.57,0.58,0.14,3.72 GHz,0.25,0.2
661,6.48,7.19,7.36,0.57,0.49,0.27,880.00 MHz,0.26,0.23
662,6.23,6.52,7.33,0.56,0.51,0.14,2.82 GHz,0.28,0.24
663,6.42,6.51,7.4,0.56,0.43,0.29,3.57 GHz,0.2,0.34
